Code NAF|Définition|Groupe 
2314Z|fabrication de fibres de verre|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2319Z|fabrication et façonnage d’autres articles en verre, y compris verre technique|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2320Z|fabrication de produits réfractaires|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2331Z|fabrication de carreaux en céramique|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2332Z|fabrication de briques, tuiles et produits de construction, en terre cuite|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2341Z|fabrication d’articles céramiques à usage domestique ou ornemental|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2342Z|fabrication d’appareils sanitaires en céramique|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2343Z|fabrication d’isolateurs et pièces isolantes en céramique|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2344Z|fabrication d’autres produits céramiques à usage technique|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2349Z|fabrication d’autres produits céramiques|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2351Z|fabrication de ciment|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2352Z|fabrication de chaux et plâtre|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2361Z|fabrication d’éléments en béton pour la construction|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2362Z|fabrication d’éléments en plâtre pour la construction|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2363Z|fabrication de béton prêt à l’emploi|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2364Z|fabrication de mortiers et bétons secs|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2365Z|fabrication d’ouvrages en fibre-ciment|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2369Z|fabrication d’autres ouvrages en béton, en ciment ou en plâtre|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
