siret,lng,lat,siren,RH,NAF,Activité,Groupe
55205663200011,2.3980184,48.876312,552056632,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
81314460700013,2.344308,48.860104,813144607,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
37831569100030,5.1367702,47.284897,378315691,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
47969487900020,4.5726547,47.85772,479694879,0,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
45155571800019,2.3428164,48.83355,451555718,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
49423948600017,2.3504972,48.86558,494239486,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
81755619400014,5.114493,47.238705,817556194,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
57206493900026,5.2012,47.57807,572064939,35,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
80951767500017,4.546342,47.789284,809517675,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
79453602900026,5.0465746,47.29045,794536029,8,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
81329875900016,2.3567934,48.85179,813298759,0,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
45206291200020,4.8903246,47.06503,452062912,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
41221904000026,5.073097,47.403152,412219040,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
45374223100047,5.1353383,47.268867,453742231,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
25210718000017,4.669172,47.926285,252107180,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
81162030100010,2.3721178,48.87932,811620301,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
85135382100016,2.380509,48.893192,851353821,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
51061105600027,2.3333163,48.817154,510611056,150,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41003460701167,5.0101924,47.322514,410034607,150,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41003460703122,5.0528445,47.353798,410034607,150,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
84502257300016,2.3239994,48.857838,845022573,4,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41003460701365,5.0827775,47.29009,410034607,35,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41003460701373,5.3856993,47.239418,410034607,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
25210791700012,5.1495404,47.001804,252107917,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
