siret,lng,lat,siren,RH,NAF,Activité,Groupe
34769980300032,4.6315856,45.92237,347699803,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
35243995400038,4.806978,45.591103,352439954,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
52890204200050,4.850349,45.773663,528902042,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
53886835700012,4.719619,46.05308,538868357,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
97350512600035,4.75581,45.664936,973505126,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
35108987500014,4.81173,45.690487,351089875,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
44058197300029,4.760078,45.659153,440581973,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
38990929200036,4.6894183,45.700768,389909292,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
80845674300018,4.697082,45.984783,808456743,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
40245772500032,4.732513,45.636555,402457725,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
41184930000024,4.774189,45.654724,411849300,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
52869494600039,4.813619,45.69522,528694946,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
82309474300015,5.0257864,45.700962,823094743,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
78650345800055,4.7699265,45.801407,786503458,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
75380670200019,4.7657166,45.8071,753806702,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
84915247500018,4.8962603,45.76628,849152475,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
30857515800032,4.931931,45.7154,308575158,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
82314636000016,4.8508434,45.705505,823146360,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
96850381300014,4.7032304,45.744457,968503813,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
52537542400013,5.081182,45.760868,525375424,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
39244515100021,4.4565077,46.276825,392445151,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
79987137100016,4.731536,45.92748,799871371,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
39814229900070,4.728685,46.011253,398142299,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
32723758200017,4.7260056,46.00825,327237582,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
48340793800016,5.0305448,45.77149,483407938,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
75299888000021,4.7203884,46.050953,752998880,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
80818509400014,4.693743,46.149136,808185094,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
47906684700019,4.50787,45.878067,479066847,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
43923417000033,4.967995,45.73257,439234170,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
40307331500034,4.72566,45.97706,403073315,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
34069988300013,4.554268,45.648445,340699883,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
33238890900019,4.3052726,45.980556,332388909,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
96550337800022,4.7069473,45.768955,965503378,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
85360439500014,4.707178,46.23461,853604395,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
32644658000028,4.633131,46.058266,326446580,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
83246920900015,4.778272,45.905663,832469209,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
38102235900016,5.0607038,45.676693,381022359,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
42448761900019,4.79466,45.68824,424487619,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
75253030300029,4.768593,45.70814,752530303,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
48791615700026,4.742355,45.8676,487916157,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
50155329100029,4.878824,45.85589,501553291,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
39193492400047,4.764321,46.131737,391934924,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
96250316500046,4.7048044,45.62072,962503165,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
95752528000039,4.7715707,45.678623,957525280,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
85003360600011,4.479533,46.037815,850033606,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
84268807900016,4.7676473,45.69506,842688079,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
75253030300011,4.773363,45.712986,752530303,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
83216363800022,4.774045,45.608654,832163638,2,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
32181718100019,4.6476917,45.997124,321817181,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
82309474300023,4.7072315,45.615086,823094743,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
34069809100014,4.655521,46.06433,340698091,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
53827541300028,4.8973436,45.757862,538275413,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
30271460500045,4.986293,45.7316,302714605,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
85398809500016,4.835841,45.77384,853988095,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
48301830500019,4.848424,45.714306,483018305,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
34781768600038,4.940818,45.6794,347817686,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
40186826000035,4.7159224,46.057945,401868260,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
83818375400012,5.008297,45.661076,838183754,15,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
